episode,episode_return,episode_length,seed,env_id,policy,action_seed_mode,wall_time_sec
1,10.0,10,42,CartPole-v1,left,0,0.0
2,9.0,9,42,CartPole-v1,left,0,0.001
3,9.0,9,42,CartPole-v1,left,0,0.001
4,10.0,10,42,CartPole-v1,left,0,0.002
5,10.0,10,42,CartPole-v1,left,0,0.002
6,9.0,9,42,CartPole-v1,left,0,0.003
7,10.0,10,42,CartPole-v1,left,0,0.003
8,9.0,9,42,CartPole-v1,left,0,0.003
9,10.0,10,42,CartPole-v1,left,0,0.003
10,10.0,10,42,CartPole-v1,left,0,0.003
11,10.0,10,42,CartPole-v1,left,0,0.004
12,10.0,10,42,CartPole-v1,left,0,0.005
13,10.0,10,42,CartPole-v1,left,0,0.005
14,8.0,8,42,CartPole-v1,left,0,0.005
15,9.0,9,42,CartPole-v1,left,0,0.005
16,10.0,10,42,CartPole-v1,left,0,0.006
17,10.0,10,42,CartPole-v1,left,0,0.006
18,10.0,10,42,CartPole-v1,left,0,0.006
19,9.0,9,42,CartPole-v1,left,0,0.006
20,9.0,9,42,CartPole-v1,left,0,0.006
21,10.0,10,42,CartPole-v1,left,0,0.007
22,10.0,10,42,CartPole-v1,left,0,0.008
23,10.0,10,42,CartPole-v1,left,0,0.008
24,10.0,10,42,CartPole-v1,left,0,0.008
25,9.0,9,42,CartPole-v1,left,0,0.008
26,9.0,9,42,CartPole-v1,left,0,0.009
27,8.0,8,42,CartPole-v1,left,0,0.009
28,10.0,10,42,CartPole-v1,left,0,0.009
29,9.0,9,42,CartPole-v1,left,0,0.009
30,10.0,10,42,CartPole-v1,left,0,0.009
31,10.0,10,42,CartPole-v1,left,0,0.01
32,9.0,9,42,CartPole-v1,left,0,0.01
33,9.0,9,42,CartPole-v1,left,0,0.011
34,9.0,9,42,CartPole-v1,left,0,0.011
35,10.0,10,42,CartPole-v1,left,0,0.011
36,9.0,9,42,CartPole-v1,left,0,0.011
37,9.0,9,42,CartPole-v1,left,0,0.012
38,10.0,10,42,CartPole-v1,left,0,0.012
39,8.0,8,42,CartPole-v1,left,0,0.012
40,10.0,10,42,CartPole-v1,left,0,0.012
41,9.0,9,42,CartPole-v1,left,0,0.013
42,9.0,9,42,CartPole-v1,left,0,0.013
43,9.0,9,42,CartPole-v1,left,0,0.014
44,9.0,9,42,CartPole-v1,left,0,0.014
45,10.0,10,42,CartPole-v1,left,0,0.015
46,9.0,9,42,CartPole-v1,left,0,0.015
47,9.0,9,42,CartPole-v1,left,0,0.016
48,9.0,9,42,CartPole-v1,left,0,0.016
49,9.0,9,42,CartPole-v1,left,0,0.017
50,10.0,10,42,CartPole-v1,left,0,0.017
