episode,episode_return,episode_length,seed,env_id,policy,action_seed_mode,wall_time_sec
1,10.0,10,0,CartPole-v1,left,2,0.001
2,9.0,9,0,CartPole-v1,left,2,0.001
3,9.0,9,0,CartPole-v1,left,2,0.002
4,8.0,8,0,CartPole-v1,left,2,0.002
5,9.0,9,0,CartPole-v1,left,2,0.003
6,10.0,10,0,CartPole-v1,left,2,0.003
7,9.0,9,0,CartPole-v1,left,2,0.003
8,10.0,10,0,CartPole-v1,left,2,0.004
9,9.0,9,0,CartPole-v1,left,2,0.004
10,9.0,9,0,CartPole-v1,left,2,0.004
11,9.0,9,0,CartPole-v1,left,2,0.006
12,10.0,10,0,CartPole-v1,left,2,0.006
13,9.0,9,0,CartPole-v1,left,2,0.007
14,9.0,9,0,CartPole-v1,left,2,0.007
15,10.0,10,0,CartPole-v1,left,2,0.007
16,10.0,10,0,CartPole-v1,left,2,0.007
17,9.0,9,0,CartPole-v1,left,2,0.007
18,10.0,10,0,CartPole-v1,left,2,0.008
19,10.0,10,0,CartPole-v1,left,2,0.008
20,10.0,10,0,CartPole-v1,left,2,0.008
21,9.0,9,0,CartPole-v1,left,2,0.009
22,10.0,10,0,CartPole-v1,left,2,0.009
23,10.0,10,0,CartPole-v1,left,2,0.01
24,9.0,9,0,CartPole-v1,left,2,0.01
25,10.0,10,0,CartPole-v1,left,2,0.01
26,10.0,10,0,CartPole-v1,left,2,0.01
27,10.0,10,0,CartPole-v1,left,2,0.011
28,9.0,9,0,CartPole-v1,left,2,0.011
29,9.0,9,0,CartPole-v1,left,2,0.011
30,10.0,10,0,CartPole-v1,left,2,0.012
31,9.0,9,0,CartPole-v1,left,2,0.012
32,10.0,10,0,CartPole-v1,left,2,0.013
33,8.0,8,0,CartPole-v1,left,2,0.013
34,10.0,10,0,CartPole-v1,left,2,0.013
35,8.0,8,0,CartPole-v1,left,2,0.014
36,8.0,8,0,CartPole-v1,left,2,0.014
37,10.0,10,0,CartPole-v1,left,2,0.014
38,9.0,9,0,CartPole-v1,left,2,0.014
39,10.0,10,0,CartPole-v1,left,2,0.015
40,8.0,8,0,CartPole-v1,left,2,0.015
41,10.0,10,0,CartPole-v1,left,2,0.016
42,8.0,8,0,CartPole-v1,left,2,0.016
43,10.0,10,0,CartPole-v1,left,2,0.017
44,9.0,9,0,CartPole-v1,left,2,0.017
45,9.0,9,0,CartPole-v1,left,2,0.017
46,10.0,10,0,CartPole-v1,left,2,0.018
47,10.0,10,0,CartPole-v1,left,2,0.018
48,9.0,9,0,CartPole-v1,left,2,0.018
49,10.0,10,0,CartPole-v1,left,2,0.019
50,9.0,9,0,CartPole-v1,left,2,0.019
