episode,episode_return,episode_length,seed,env_id,policy,action_seed_mode,wall_time_sec
1,20.0,20,0,CartPole-v1,random,1,0.001
2,29.0,29,0,CartPole-v1,random,1,0.002
3,15.0,15,0,CartPole-v1,random,1,0.003
4,21.0,21,0,CartPole-v1,random,1,0.003
5,60.0,60,0,CartPole-v1,random,1,0.005
6,15.0,15,0,CartPole-v1,random,1,0.006
7,37.0,37,0,CartPole-v1,random,1,0.007
8,44.0,44,0,CartPole-v1,random,1,0.008
9,15.0,15,0,CartPole-v1,random,1,0.009
10,30.0,30,0,CartPole-v1,random,1,0.009
11,30.0,30,0,CartPole-v1,random,1,0.011
12,12.0,12,0,CartPole-v1,random,1,0.011
13,17.0,17,0,CartPole-v1,random,1,0.012
14,11.0,11,0,CartPole-v1,random,1,0.012
15,9.0,9,0,CartPole-v1,random,1,0.012
16,20.0,20,0,CartPole-v1,random,1,0.013
17,20.0,20,0,CartPole-v1,random,1,0.013
18,10.0,10,0,CartPole-v1,random,1,0.014
19,43.0,43,0,CartPole-v1,random,1,0.015
20,19.0,19,0,CartPole-v1,random,1,0.016
21,21.0,21,0,CartPole-v1,random,1,0.016
22,26.0,26,0,CartPole-v1,random,1,0.017
23,45.0,45,0,CartPole-v1,random,1,0.019
24,42.0,42,0,CartPole-v1,random,1,0.02
25,11.0,11,0,CartPole-v1,random,1,0.02
26,23.0,23,0,CartPole-v1,random,1,0.02
27,28.0,28,0,CartPole-v1,random,1,0.021
28,20.0,20,0,CartPole-v1,random,1,0.022
29,42.0,42,0,CartPole-v1,random,1,0.023
30,48.0,48,0,CartPole-v1,random,1,0.024
31,13.0,13,0,CartPole-v1,random,1,0.024
32,32.0,32,0,CartPole-v1,random,1,0.025
33,48.0,48,0,CartPole-v1,random,1,0.027
34,57.0,57,0,CartPole-v1,random,1,0.028
35,13.0,13,0,CartPole-v1,random,1,0.029
36,15.0,15,0,CartPole-v1,random,1,0.029
37,11.0,11,0,CartPole-v1,random,1,0.03
38,47.0,47,0,CartPole-v1,random,1,0.031
39,17.0,17,0,CartPole-v1,random,1,0.031
40,40.0,40,0,CartPole-v1,random,1,0.033
41,14.0,14,0,CartPole-v1,random,1,0.033
42,31.0,31,0,CartPole-v1,random,1,0.034
43,10.0,10,0,CartPole-v1,random,1,0.034
44,18.0,18,0,CartPole-v1,random,1,0.035
45,18.0,18,0,CartPole-v1,random,1,0.036
46,10.0,10,0,CartPole-v1,random,1,0.036
47,31.0,31,0,CartPole-v1,random,1,0.037
48,27.0,27,0,CartPole-v1,random,1,0.038
49,19.0,19,0,CartPole-v1,random,1,0.038
50,35.0,35,0,CartPole-v1,random,1,0.039
