episode,episode_return,episode_length,seed,env_id,policy,action_seed_mode,wall_time_sec
1,93.0,93,42,CartPole-v1,random,2,0.002
2,44.0,44,42,CartPole-v1,random,2,0.005
3,10.0,10,42,CartPole-v1,random,2,0.005
4,20.0,20,42,CartPole-v1,random,2,0.006
5,20.0,20,42,CartPole-v1,random,2,0.006
6,20.0,20,42,CartPole-v1,random,2,0.007
7,69.0,69,42,CartPole-v1,random,2,0.009
8,10.0,10,42,CartPole-v1,random,2,0.009
9,21.0,21,42,CartPole-v1,random,2,0.01
10,20.0,20,42,CartPole-v1,random,2,0.01
11,15.0,15,42,CartPole-v1,random,2,0.011
12,37.0,37,42,CartPole-v1,random,2,0.012
13,12.0,12,42,CartPole-v1,random,2,0.012
14,24.0,24,42,CartPole-v1,random,2,0.013
15,24.0,24,42,CartPole-v1,random,2,0.014
16,13.0,13,42,CartPole-v1,random,2,0.014
17,9.0,9,42,CartPole-v1,random,2,0.015
18,34.0,34,42,CartPole-v1,random,2,0.015
19,24.0,24,42,CartPole-v1,random,2,0.016
20,17.0,17,42,CartPole-v1,random,2,0.016
21,15.0,15,42,CartPole-v1,random,2,0.018
22,13.0,13,42,CartPole-v1,random,2,0.018
23,24.0,24,42,CartPole-v1,random,2,0.019
24,11.0,11,42,CartPole-v1,random,2,0.019
25,38.0,38,42,CartPole-v1,random,2,0.02
26,20.0,20,42,CartPole-v1,random,2,0.021
27,15.0,15,42,CartPole-v1,random,2,0.022
28,23.0,23,42,CartPole-v1,random,2,0.022
29,47.0,47,42,CartPole-v1,random,2,0.024
30,59.0,59,42,CartPole-v1,random,2,0.026
31,49.0,49,42,CartPole-v1,random,2,0.029
32,17.0,17,42,CartPole-v1,random,2,0.03
33,21.0,21,42,CartPole-v1,random,2,0.03
34,18.0,18,42,CartPole-v1,random,2,0.031
35,24.0,24,42,CartPole-v1,random,2,0.032
36,18.0,18,42,CartPole-v1,random,2,0.032
37,48.0,48,42,CartPole-v1,random,2,0.033
38,38.0,38,42,CartPole-v1,random,2,0.034
39,11.0,11,42,CartPole-v1,random,2,0.035
40,10.0,10,42,CartPole-v1,random,2,0.035
41,16.0,16,42,CartPole-v1,random,2,0.036
42,14.0,14,42,CartPole-v1,random,2,0.037
43,57.0,57,42,CartPole-v1,random,2,0.038
44,20.0,20,42,CartPole-v1,random,2,0.039
45,18.0,18,42,CartPole-v1,random,2,0.039
46,12.0,12,42,CartPole-v1,random,2,0.04
47,22.0,22,42,CartPole-v1,random,2,0.041
48,43.0,43,42,CartPole-v1,random,2,0.043
49,39.0,39,42,CartPole-v1,random,2,0.045
50,18.0,18,42,CartPole-v1,random,2,0.045
