episode,episode_return,episode_length,seed,env_id,policy,action_seed_mode,wall_time_sec
1,8.0,8,42,CartPole-v1,right,0,0.001
2,9.0,9,42,CartPole-v1,right,0,0.001
3,10.0,10,42,CartPole-v1,right,0,0.002
4,9.0,9,42,CartPole-v1,right,0,0.002
5,9.0,9,42,CartPole-v1,right,0,0.002
6,9.0,9,42,CartPole-v1,right,0,0.003
7,9.0,9,42,CartPole-v1,right,0,0.003
8,10.0,10,42,CartPole-v1,right,0,0.003
9,9.0,9,42,CartPole-v1,right,0,0.003
10,9.0,9,42,CartPole-v1,right,0,0.003
11,9.0,9,42,CartPole-v1,right,0,0.004
12,8.0,8,42,CartPole-v1,right,0,0.004
13,9.0,9,42,CartPole-v1,right,0,0.005
14,11.0,11,42,CartPole-v1,right,0,0.005
15,10.0,10,42,CartPole-v1,right,0,0.005
16,9.0,9,42,CartPole-v1,right,0,0.005
17,8.0,8,42,CartPole-v1,right,0,0.006
18,8.0,8,42,CartPole-v1,right,0,0.006
19,10.0,10,42,CartPole-v1,right,0,0.006
20,10.0,10,42,CartPole-v1,right,0,0.006
21,9.0,9,42,CartPole-v1,right,0,0.007
22,8.0,8,42,CartPole-v1,right,0,0.007
23,9.0,9,42,CartPole-v1,right,0,0.007
24,8.0,8,42,CartPole-v1,right,0,0.008
25,9.0,9,42,CartPole-v1,right,0,0.008
26,10.0,10,42,CartPole-v1,right,0,0.008
27,10.0,10,42,CartPole-v1,right,0,0.008
28,9.0,9,42,CartPole-v1,right,0,0.008
29,10.0,10,42,CartPole-v1,right,0,0.009
30,9.0,9,42,CartPole-v1,right,0,0.009
31,9.0,9,42,CartPole-v1,right,0,0.01
32,10.0,10,42,CartPole-v1,right,0,0.01
33,10.0,10,42,CartPole-v1,right,0,0.01
34,10.0,10,42,CartPole-v1,right,0,0.01
35,9.0,9,42,CartPole-v1,right,0,0.011
36,10.0,10,42,CartPole-v1,right,0,0.011
37,10.0,10,42,CartPole-v1,right,0,0.011
38,8.0,8,42,CartPole-v1,right,0,0.011
39,10.0,10,42,CartPole-v1,right,0,0.012
40,9.0,9,42,CartPole-v1,right,0,0.012
41,10.0,10,42,CartPole-v1,right,0,0.013
42,10.0,10,42,CartPole-v1,right,0,0.013
43,9.0,9,42,CartPole-v1,right,0,0.013
44,10.0,10,42,CartPole-v1,right,0,0.013
45,9.0,9,42,CartPole-v1,right,0,0.013
46,10.0,10,42,CartPole-v1,right,0,0.014
47,10.0,10,42,CartPole-v1,right,0,0.014
48,9.0,9,42,CartPole-v1,right,0,0.014
49,10.0,10,42,CartPole-v1,right,0,0.014
50,9.0,9,42,CartPole-v1,right,0,0.015
