global_step,episode,episode_return,episode_length,epsilon,loss,eval_mean_return,wall_time_sec
12077,437,13.0,13,0.808781,0.7261545062065125,298.0,10.821
12101,438,24.0,24,0.808401,1.5264711380004883,298.0,10.84
12120,439,19.0,19,0.8081,0.31535449624061584,298.0,10.852
12184,440,64.0,64,0.807087,0.13386718928813934,298.0,10.905
12202,441,18.0,18,0.806802,0.1543891876935959,298.0,10.926
12230,442,28.0,28,0.806358,0.5341918468475342,298.0,10.952
12250,443,20.0,20,0.806042,0.3455083966255188,298.0,10.968
12286,444,36.0,36,0.805472,0.28704527020454407,298.0,10.998
12344,445,58.0,58,0.804553,2.018756151199341,298.0,11.067
12376,446,32.0,32,0.804047,0.05259914696216583,298.0,11.101
12433,447,57.0,57,0.803144,0.173631489276886,298.0,11.15
12468,448,35.0,35,0.80259,0.18463972210884094,298.0,11.178
12506,449,38.0,38,0.801988,0.7179537415504456,298.0,11.211
12521,450,15.0,15,0.801751,0.15828852355480194,298.0,11.224
12587,451,66.0,66,0.800706,0.21502061188220978,298.0,11.296
12693,452,106.0,106,0.799028,0.6890743970870972,298.0,11.409
12781,453,88.0,88,0.797634,0.46421489119529724,298.0,11.488
12837,454,56.0,56,0.796747,0.9448043704032898,298.0,11.534
12848,455,11.0,11,0.796573,1.1340386867523193,298.0,11.543
12922,456,74.0,74,0.795402,1.2613710165023804,298.0,11.607
12943,457,21.0,21,0.795069,0.12939423322677612,298.0,11.63
12959,458,16.0,16,0.794816,0.1324494630098343,298.0,11.642
12988,459,29.0,29,0.794357,1.1238659620285034,298.0,11.666
13018,460,30.0,30,0.793882,0.7677863240242004,298.0,11.699
13033,461,15.0,15,0.793644,1.1745169162750244,298.0,11.716
13084,462,51.0,51,0.792837,0.10380876064300537,298.0,11.77
13108,463,24.0,24,0.792457,0.42373576760292053,298.0,11.803
13149,464,41.0,41,0.791807,0.8036594986915588,298.0,11.844
13162,465,13.0,13,0.791602,0.16216938197612762,298.0,11.853
13210,466,48.0,48,0.790842,0.8344761729240417,298.0,11.891
13236,467,26.0,26,0.79043,0.36439913511276245,298.0,11.914
13284,468,48.0,48,0.78967,0.10118679702281952,298.0,11.961
13309,469,25.0,25,0.789274,1.690102458000183,298.0,11.985
13319,470,10.0,10,0.789116,0.6566551327705383,298.0,11.991
13345,471,26.0,26,0.788704,1.7338732481002808,298.0,12.017
13373,472,28.0,28,0.788261,0.9756171107292175,298.0,12.04
13385,473,12.0,12,0.788071,0.13864083588123322,298.0,12.05
13399,474,14.0,14,0.787849,0.3861455023288727,298.0,12.059
13467,475,68.0,68,0.786772,0.5518859624862671,298.0,12.123
13508,476,41.0,41,0.786123,0.7058925628662109,298.0,12.166
13533,477,25.0,25,0.785728,0.39171677827835083,298.0,12.194
13542,478,9.0,9,0.785585,0.11892378330230713,298.0,12.202
13563,479,21.0,21,0.785253,0.8836947083473206,298.0,12.218
13578,480,15.0,15,0.785015,0.20394021272659302,298.0,12.229
13603,481,25.0,25,0.784619,0.5764403343200684,298.0,12.253
13630,482,27.0,27,0.784192,0.14841927587985992,298.0,12.281
13653,483,23.0,23,0.783828,2.110506057739258,298.0,12.301
13679,484,26.0,26,0.783416,1.3713462352752686,298.0,12.324
13702,485,23.0,23,0.783052,0.24485346674919128,298.0,12.347
13791,486,89.0,89,0.781643,0.2426014244556427,298.0,12.42
13806,487,15.0,15,0.781405,0.14356672763824463,298.0,12.433
13838,488,32.0,32,0.780898,0.12793685495853424,298.0,12.46
13894,489,56.0,56,0.780012,0.20794115960597992,298.0,12.519
13928,490,34.0,34,0.779473,0.6445479393005371,298.0,12.554
13970,491,42.0,42,0.778808,0.10141713917255402,298.0,12.6
14038,492,68.0,68,0.777732,0.20534192025661469,298.0,12.655
14091,493,53.0,53,0.776892,1.1063324213027954,298.0,12.696
14142,494,51.0,51,0.776085,0.49178552627563477,298.0,12.736
14162,495,20.0,20,0.775768,0.4287952184677124,298.0,12.752
14189,496,27.0,27,0.775341,0.39589038491249084,298.0,12.779
14223,497,34.0,34,0.774803,0.6474673748016357,298.0,12.81
14240,498,17.0,17,0.774533,1.269876480102539,298.0,12.83
14308,499,68.0,68,0.773457,2.1050732135772705,298.0,12.888
14358,500,50.0,50,0.772665,0.30819207429885864,298.0,12.937
14404,501,46.0,46,0.771937,1.622110366821289,298.0,12.974
14430,502,26.0,26,0.771525,0.4845767319202423,298.0,13.003
14443,503,13.0,13,0.771319,0.70698481798172,298.0,13.016
14519,504,76.0,76,0.770116,0.3157893419265747,298.0,13.077
14535,505,16.0,16,0.769863,0.11856255680322647,298.0,13.09
14674,506,139.0,139,0.767662,0.47403693199157715,298.0,13.213
14698,507,24.0,24,0.767282,0.4837329089641571,298.0,13.231
14753,508,55.0,55,0.766411,0.06348028033971786,298.0,13.275
14792,509,39.0,39,0.765793,0.09188850224018097,298.0,13.314
14848,510,56.0,56,0.764907,0.49801257252693176,298.0,13.366
14865,511,17.0,17,0.764637,0.2605065405368805,298.0,13.383
14898,512,33.0,33,0.764115,0.3701601028442383,298.0,13.412
14970,513,72.0,72,0.762975,1.4578288793563843,298.0,13.475
14984,514,14.0,14,0.762753,0.18654567003250122,298.0,13.485
15015,515,31.0,31,0.762263,3.0732719898223877,298.0,13.513
15034,516,19.0,19,0.761962,0.9727073311805725,298.0,13.536
15070,517,36.0,36,0.761392,0.2013053297996521,298.0,13.565
15267,518,197.0,197,0.758273,1.844966173171997,298.0,13.747
15317,519,50.0,50,0.757481,0.8717045783996582,298.0,13.789
15350,520,33.0,33,0.756958,0.8685699701309204,298.0,13.818
15387,521,37.0,37,0.756373,0.7589634656906128,298.0,13.85
15424,522,37.0,37,0.755787,0.30669018626213074,298.0,13.88
15498,523,74.0,74,0.754615,0.24970799684524536,298.0,13.947
15547,524,49.0,49,0.753839,2.4376962184906006,298.0,13.986
15587,525,40.0,40,0.753206,0.3614470660686493,298.0,14.02
15627,526,40.0,40,0.752572,0.27401629090309143,298.0,14.056
15709,527,82.0,82,0.751274,0.5924134850502014,298.0,14.123
15769,528,60.0,60,0.750324,0.41458821296691895,298.0,14.173
15826,529,57.0,57,0.749422,1.1375812292099,298.0,14.223
15870,530,44.0,44,0.748725,1.12771475315094,298.0,14.259
15905,531,35.0,35,0.748171,0.20323729515075684,298.0,14.29
15949,532,44.0,44,0.747474,0.7194360494613647,298.0,14.326
16026,533,77.0,77,0.746255,0.33600738644599915,298.0,14.402
16035,534,9.0,9,0.746112,0.3229163885116577,298.0,14.41
16044,535,9.0,9,0.74597,2.5971519947052,298.0,14.418
16075,536,31.0,31,0.745479,4.618529796600342,298.0,14.444
16167,537,92.0,92,0.744023,0.3592674434185028,298.0,14.521
16288,538,121.0,121,0.742107,0.4954904019832611,298.0,14.626
16316,539,28.0,28,0.741663,0.6137285828590393,298.0,14.648
16357,540,41.0,41,0.741014,0.9593230485916138,298.0,14.686
16419,541,62.0,62,0.740032,0.6549038290977478,298.0,14.739
16436,542,17.0,17,0.739763,0.5116598010063171,298.0,14.752
16452,543,16.0,16,0.73951,1.7843207120895386,298.0,14.768
16469,544,17.0,17,0.739241,0.19938765466213226,298.0,14.784
16488,545,19.0,19,0.73894,0.9228427410125732,298.0,14.801
16510,546,22.0,22,0.738592,1.1700080633163452,298.0,14.823
16549,547,39.0,39,0.737974,0.18270590901374817,298.0,14.861
16583,548,34.0,34,0.737436,0.17857402563095093,298.0,14.888
16634,549,51.0,51,0.736628,2.863313674926758,298.0,14.936
16667,550,33.0,33,0.736106,0.8458553552627563,298.0,14.967
16687,551,20.0,20,0.735789,0.4748918116092682,298.0,14.99
16721,552,34.0,34,0.735251,0.8436128497123718,298.0,15.02
16797,553,76.0,76,0.734047,0.24536031484603882,298.0,15.089
16901,554,104.0,104,0.732401,0.2832496762275696,298.0,15.176
16917,555,16.0,16,0.732147,0.9350646734237671,298.0,15.189
16930,556,13.0,13,0.731942,2.3444712162017822,298.0,15.198
16974,557,44.0,44,0.731245,1.5110085010528564,298.0,15.232
16997,558,23.0,23,0.730881,1.7303863763809204,298.0,15.256
17033,559,36.0,36,0.730311,0.9940473437309265,298.0,15.296
17042,560,9.0,9,0.730168,0.3282977044582367,298.0,15.302
17072,561,30.0,30,0.729693,1.0486783981323242,298.0,15.331
17091,562,19.0,19,0.729392,0.21241478621959686,298.0,15.347
17178,563,87.0,87,0.728015,1.1381677389144897,298.0,15.419
17237,564,59.0,59,0.727081,0.5083882808685303,298.0,15.472
17353,565,116.0,116,0.725244,0.13969436287879944,298.0,15.565
17374,566,21.0,21,0.724912,0.9561918377876282,298.0,15.581
17439,567,65.0,65,0.723882,1.6298242807388306,298.0,15.637
17484,568,45.0,45,0.72317,1.6422133445739746,298.0,15.689
17525,569,41.0,41,0.722521,0.3662129044532776,298.0,15.73
17642,570,117.0,117,0.720668,2.7794299125671387,298.0,15.832
17667,571,25.0,25,0.720272,0.28445810079574585,298.0,15.852
17695,572,28.0,28,0.719829,1.4207266569137573,298.0,15.874
17708,573,13.0,13,0.719623,0.5508509874343872,298.0,15.883
17853,574,145.0,145,0.717328,1.9289475679397583,298.0,16.017
17929,575,76.0,76,0.716124,1.0373015403747559,298.0,16.08
17994,576,65.0,65,0.715095,0.802929162979126,298.0,16.139
18069,577,75.0,75,0.713908,0.7124118804931641,298.0,16.214
18103,578,34.0,34,0.713369,0.9155892729759216,298.0,16.239
18229,579,126.0,126,0.711374,1.6605910062789917,298.0,16.357
18285,580,56.0,56,0.710487,0.17776910960674286,298.0,16.409
18296,581,11.0,11,0.710313,1.0741534233093262,298.0,16.416
18338,582,42.0,42,0.709648,0.8205597400665283,298.0,16.451
18450,583,112.0,112,0.707875,0.3609861135482788,298.0,16.555
18463,584,13.0,13,0.707669,0.19499735534191132,298.0,16.566
18522,585,59.0,59,0.706735,0.33888375759124756,298.0,16.62
18543,586,21.0,21,0.706403,0.256028413772583,298.0,16.637
18562,587,19.0,19,0.706102,0.69989013671875,298.0,16.654
18587,588,25.0,25,0.705706,0.7395310401916504,298.0,16.673
18627,589,40.0,40,0.705072,0.3301222324371338,298.0,16.706
18656,590,29.0,29,0.704613,2.8596160411834717,298.0,16.733
18686,591,30.0,30,0.704138,0.9491173028945923,298.0,16.759
18729,592,43.0,43,0.703458,0.2647876739501953,298.0,16.8
18779,593,50.0,50,0.702666,1.317407250404358,298.0,16.841
18792,594,13.0,13,0.70246,1.0136750936508179,298.0,16.853
18899,595,107.0,107,0.700766,2.969684600830078,298.0,16.954
18949,596,50.0,50,0.699974,3.4466371536254883,298.0,16.999
18998,597,49.0,49,0.699198,0.44937899708747864,298.0,17.048
19050,598,52.0,52,0.698375,1.0222808122634888,298.0,17.09
19067,599,17.0,17,0.698106,3.1389927864074707,298.0,17.103
19105,600,38.0,38,0.697504,0.7692631483078003,298.0,17.135
19180,601,75.0,75,0.696317,0.985386312007904,298.0,17.214
19217,602,37.0,37,0.695731,2.8780460357666016,298.0,17.251
19302,603,85.0,85,0.694385,0.9546247124671936,298.0,17.323
19327,604,25.0,25,0.693989,0.23026025295257568,298.0,17.352
19366,605,39.0,39,0.693372,0.36500629782676697,298.0,17.39
19379,606,13.0,13,0.693166,4.27403450012207,298.0,17.4
19418,607,39.0,39,0.692548,0.4202294945716858,298.0,17.432
19488,608,70.0,70,0.69144,0.5609430074691772,298.0,17.487
19500,609,12.0,12,0.69125,0.1874736249446869,298.0,17.497
19544,610,44.0,44,0.690553,5.430144786834717,298.0,17.534
19642,611,98.0,98,0.689002,0.19962860643863678,298.0,17.623
19697,612,55.0,55,0.688131,0.2870767414569855,298.0,17.669
19736,613,39.0,39,0.687513,1.6024101972579956,298.0,17.698
19755,614,19.0,19,0.687213,8.189920425415039,298.0,17.714
19790,615,35.0,35,0.686658,0.5449205636978149,298.0,17.749
19805,616,15.0,15,0.686421,1.2359696626663208,298.0,17.762
19852,617,47.0,47,0.685677,0.37516799569129944,298.0,17.801
19862,618,10.0,10,0.685518,2.2491230964660645,298.0,17.811
19882,619,20.0,20,0.685202,1.4167754650115967,298.0,17.827
19916,620,34.0,34,0.684663,0.5815332531929016,298.0,17.856
19949,621,33.0,33,0.684141,0.33091026544570923,298.0,17.888
20086,622,137.0,137,0.681972,0.3912479877471924,253.4,18.283
20120,623,34.0,34,0.681433,1.3587013483047485,253.4,18.309
20130,624,10.0,10,0.681275,1.4347879886627197,253.4,18.318
20147,625,17.0,17,0.681006,4.28896427154541,253.4,18.333
20175,626,28.0,28,0.680562,3.6921002864837646,253.4,18.355
20206,627,31.0,31,0.680072,5.307276248931885,253.4,18.381
20221,628,15.0,15,0.679834,0.31715622544288635,253.4,18.393
20268,629,47.0,47,0.67909,2.6520392894744873,253.4,18.43
20279,630,11.0,11,0.678916,1.0296509265899658,253.4,18.44
20299,631,20.0,20,0.678599,0.5235878825187683,253.4,18.458
20322,632,23.0,23,0.678235,1.4352046251296997,253.4,18.486
20386,633,64.0,64,0.677222,1.9567828178405762,253.4,18.555
20396,634,10.0,10,0.677063,0.6360322833061218,253.4,18.562
20548,635,152.0,152,0.674657,0.6720280647277832,253.4,18.7
20611,636,63.0,63,0.673659,0.9293348789215088,253.4,18.753
20651,637,40.0,40,0.673026,0.607131838798523,253.4,18.786
20685,638,34.0,34,0.672488,6.1627044677734375,253.4,18.815
20754,639,69.0,69,0.671395,6.40435791015625,253.4,18.887
20766,640,12.0,12,0.671205,0.390150249004364,253.4,18.896
20793,641,27.0,27,0.670778,1.023599624633789,253.4,18.92
20808,642,15.0,15,0.67054,0.5868426561355591,253.4,18.933
20832,643,24.0,24,0.67016,0.3203859031200409,253.4,18.951
20922,644,90.0,90,0.668735,1.1287039518356323,253.4,19.031
20951,645,29.0,29,0.668276,0.7336257100105286,253.4,19.054
20991,646,40.0,40,0.667643,3.1223130226135254,253.4,19.087
21020,647,29.0,29,0.667183,1.388869285583496,253.4,19.114
21113,648,93.0,93,0.665711,0.4177560806274414,253.4,19.195
21185,649,72.0,72,0.664571,1.8794316053390503,253.4,19.265
21196,650,11.0,11,0.664397,3.154266595840454,253.4,19.271
21239,651,43.0,43,0.663716,0.3827822804450989,253.4,19.32
21266,652,27.0,27,0.663288,0.754235565662384,253.4,19.342
21326,653,60.0,60,0.662338,0.2540905475616455,253.4,19.401
21358,654,32.0,32,0.661832,5.109301567077637,253.4,19.426
21401,655,43.0,43,0.661151,7.287603855133057,253.4,19.466
21494,656,93.0,93,0.659678,1.5233157873153687,253.4,19.552
21513,657,19.0,19,0.659377,0.3857925534248352,253.4,19.567
21579,658,66.0,66,0.658332,0.19605958461761475,253.4,19.624
21683,659,104.0,104,0.656686,7.363192558288574,253.4,19.72
21701,660,18.0,18,0.656401,3.90415358543396,253.4,19.741
21861,661,160.0,160,0.653868,0.16079097986221313,253.4,19.883
21885,662,24.0,24,0.653487,2.417102098464966,253.4,19.905
22001,663,116.0,116,0.651651,3.865051031112671,253.4,20.027
22071,664,70.0,70,0.650543,3.355541467666626,253.4,20.088
22110,665,39.0,39,0.649925,3.1604299545288086,253.4,20.121
22126,666,16.0,16,0.649672,2.0141406059265137,253.4,20.136
22287,667,161.0,161,0.647123,1.1176034212112427,253.4,20.308
22335,668,48.0,48,0.646362,0.31950852274894714,253.4,20.349
22362,669,27.0,27,0.645935,2.21235990524292,253.4,20.372
22576,670,214.0,214,0.642547,0.7825387120246887,253.4,20.59
22632,671,56.0,56,0.64166,0.33354905247688293,253.4,20.656
22654,672,22.0,22,0.641312,1.5023136138916016,253.4,20.682
22673,673,19.0,19,0.641011,0.820116400718689,253.4,20.707
22688,674,15.0,15,0.640773,0.274738609790802,253.4,20.719
22759,675,71.0,71,0.639649,3.433879852294922,253.4,20.799
22844,676,85.0,85,0.638303,2.0938267707824707,253.4,20.894
22886,677,42.0,42,0.637638,6.866926670074463,253.4,20.937
22919,678,33.0,33,0.637116,0.29641902446746826,253.4,20.963
22963,679,44.0,44,0.636419,2.286283254623413,253.4,21.004
23148,680,185.0,185,0.63349,0.5922408103942871,253.4,21.277
23215,681,67.0,67,0.632429,0.8755379915237427,253.4,21.366
23232,682,17.0,17,0.63216,1.3281488418579102,253.4,21.384
23279,683,47.0,47,0.631416,3.8099122047424316,253.4,21.441
23373,684,94.0,94,0.629927,0.5233787298202515,253.4,21.557
23421,685,48.0,48,0.629167,0.4529845118522644,253.4,21.605
23528,686,107.0,107,0.627473,3.1530046463012695,253.4,21.729
23619,687,91.0,91,0.626032,0.7435468435287476,253.4,21.83
23756,688,137.0,137,0.623863,1.484277367591858,253.4,22.175
23779,689,23.0,23,0.623499,6.0127763748168945,253.4,22.25
23808,690,29.0,29,0.62304,0.8096913695335388,253.4,22.292
23887,691,79.0,79,0.621789,0.5739991664886475,253.4,22.508
24001,692,114.0,114,0.619984,0.8338838815689087,253.4,22.632
24176,693,175.0,175,0.617213,1.1765376329421997,253.4,22.792
24223,694,47.0,47,0.616469,0.5413682460784912,253.4,22.836
24277,695,54.0,54,0.615614,0.6509674191474915,253.4,22.897
24333,696,56.0,56,0.614727,7.907184600830078,253.4,22.947
24393,697,60.0,60,0.613778,1.9424196481704712,253.4,23.002
24465,698,72.0,72,0.612637,0.9379934072494507,253.4,23.065
24552,699,87.0,87,0.61126,8.809416770935059,253.4,23.141
24619,700,67.0,67,0.610199,0.692503809928894,253.4,23.205
24722,701,103.0,103,0.608568,0.615757405757904,253.4,23.302
24874,702,152.0,152,0.606162,0.4202767610549927,253.4,23.439
25047,703,173.0,173,0.603422,3.6460883617401123,253.4,23.585
25069,704,22.0,22,0.603074,1.3957479000091553,253.4,23.612
25126,705,57.0,57,0.602172,0.5239816308021545,253.4,23.662
25182,706,56.0,56,0.601285,7.640256404876709,253.4,23.709
25231,707,49.0,49,0.600509,13.165752410888672,253.4,23.759
25274,708,43.0,43,0.599828,0.5495917797088623,253.4,23.793
25324,709,50.0,50,0.599037,2.0246715545654297,253.4,23.834
25351,710,27.0,27,0.598609,1.0731594562530518,253.4,23.857
25437,711,86.0,86,0.597247,1.192915678024292,253.4,23.93
25465,712,28.0,28,0.596804,0.764125645160675,253.4,23.959
25572,713,107.0,107,0.59511,0.46123218536376953,253.4,24.051
25634,714,62.0,62,0.594128,0.47203728556632996,253.4,24.119
25681,715,47.0,47,0.593384,2.093721866607666,253.4,24.171
25764,716,83.0,83,0.59207,1.0367743968963623,253.4,24.242
25780,717,16.0,16,0.591817,0.6897770166397095,253.4,24.255
25812,718,32.0,32,0.59131,2.884326696395874,253.4,24.281
25906,719,94.0,94,0.589822,4.396148681640625,253.4,24.37
26022,720,116.0,116,0.587985,17.276615142822266,253.4,24.479
26064,721,42.0,42,0.58732,0.3292211890220642,253.4,24.518
26263,722,199.0,199,0.584169,3.9587905406951904,253.4,24.701
26304,723,41.0,41,0.58352,5.133554458618164,253.4,24.736
26364,724,60.0,60,0.58257,0.6853484511375427,253.4,24.79
26426,725,62.0,62,0.581588,1.3638406991958618,253.4,24.853
26492,726,66.0,66,0.580543,4.1163482666015625,253.4,24.91
26607,727,115.0,115,0.578723,3.977339267730713,253.4,25.009
26650,728,43.0,43,0.578042,0.47126340866088867,253.4,25.052
26742,729,92.0,92,0.576585,0.5230952501296997,253.4,25.136
26795,730,53.0,53,0.575746,9.270856857299805,253.4,25.185
26938,731,143.0,143,0.573482,2.580260992050171,253.4,25.315
27068,732,130.0,130,0.571423,1.329365611076355,253.4,25.433
27098,733,30.0,30,0.570948,15.794255256652832,253.4,25.463
27112,734,14.0,14,0.570727,4.1753458976745605,253.4,25.473
27247,735,135.0,135,0.568589,5.3785834312438965,253.4,25.584
27276,736,29.0,29,0.56813,3.798029661178589,253.4,25.613
27365,737,89.0,89,0.566721,1.342330813407898,253.4,25.697
27402,738,37.0,37,0.566135,4.989232063293457,253.4,25.735
27561,739,159.0,159,0.563617,5.739231586456299,253.4,25.895
27683,740,122.0,122,0.561686,0.36402732133865356,253.4,26.009
27868,741,185.0,185,0.558757,2.796574115753174,253.4,26.187
28027,742,159.0,159,0.556239,1.971257209777832,253.4,26.325
28065,743,38.0,38,0.555638,2.0897514820098877,253.4,26.358
28140,744,75.0,75,0.55445,3.0171632766723633,253.4,26.429
28173,745,33.0,33,0.553928,1.3426952362060547,253.4,26.464
28206,746,33.0,33,0.553405,7.943785667419434,253.4,26.491
28314,747,108.0,108,0.551695,2.6438074111938477,253.4,26.581
28502,748,188.0,188,0.548718,2.6663942337036133,253.4,26.742
28621,749,119.0,119,0.546834,1.39029860496521,253.4,26.85
28797,750,176.0,176,0.544048,2.3121821880340576,253.4,27.013
28834,751,37.0,37,0.543462,1.079153060913086,253.4,27.048
28874,752,40.0,40,0.542828,0.6685091257095337,253.4,27.081
29021,753,147.0,147,0.540501,1.628247857093811,253.4,27.233
29146,754,125.0,125,0.538522,8.514521598815918,253.4,27.353
29350,755,204.0,204,0.535292,1.9010928869247437,253.4,27.544
29394,756,44.0,44,0.534595,1.8991776704788208,253.4,27.583
29406,757,12.0,12,0.534405,1.7658945322036743,253.4,27.593
29446,758,40.0,40,0.533772,2.608492136001587,253.4,27.629
29498,759,52.0,52,0.532948,7.910592079162598,253.4,27.677
29737,760,239.0,239,0.529164,3.128804922103882,253.4,27.898
29868,761,131.0,131,0.52709,0.851370096206665,253.4,28.028
29940,762,72.0,72,0.52595,0.5519628524780273,253.4,28.088
30013,763,73.0,73,0.524794,5.787153244018555,281.8,28.478
30036,764,23.0,23,0.52443,4.591771602630615,281.8,28.499
30202,765,166.0,166,0.521802,2.5494558811187744,281.8,28.664
30269,766,67.0,67,0.520741,7.922903537750244,281.8,28.734
30336,767,67.0,67,0.51968,5.15578556060791,281.8,28.793
30353,768,17.0,17,0.519411,0.7557024955749512,281.8,28.809
30379,769,26.0,26,0.518999,0.934757649898529,281.8,28.83
30451,770,72.0,72,0.517859,0.5183412432670593,281.8,28.896
30545,771,94.0,94,0.516371,0.7961850166320801,281.8,28.98
30675,772,130.0,130,0.514312,6.708835601806641,281.8,29.092
30831,773,156.0,156,0.511842,1.3862929344177246,281.8,29.234
31003,774,172.0,172,0.509119,0.7326169610023499,281.8,29.395
31084,775,81.0,81,0.507837,3.5132594108581543,281.8,29.466
31267,776,183.0,183,0.504939,0.7276293039321899,281.8,29.648
31530,777,263.0,263,0.500775,1.4208788871765137,281.8,29.914
31814,778,284.0,284,0.496278,0.6502191424369812,281.8,30.181
31873,779,59.0,59,0.495344,9.509339332580566,281.8,30.237
31908,780,35.0,35,0.49479,2.757739543914795,281.8,30.272
32058,781,150.0,150,0.492415,3.0135674476623535,281.8,30.411
32223,782,165.0,165,0.489803,5.734915733337402,281.8,30.573
32463,783,240.0,240,0.486003,2.1050496101379395,281.8,30.798
32690,784,227.0,227,0.482408,0.5247604846954346,281.8,31.026
32733,785,43.0,43,0.481727,27.141216278076172,281.8,31.066
32901,786,168.0,168,0.479067,4.681657791137695,281.8,31.222
33119,787,218.0,218,0.475616,1.8975862264633179,281.8,31.434
33169,788,50.0,50,0.474824,2.813016414642334,281.8,31.486
33208,789,39.0,39,0.474207,0.5759835243225098,281.8,31.517
33260,790,52.0,52,0.473383,2.190983772277832,281.8,31.566
33446,791,186.0,186,0.470438,4.728985786437988,281.8,31.744
33499,792,53.0,53,0.469599,11.101487159729004,281.8,31.796
33521,793,22.0,22,0.469251,2.4254562854766846,281.8,31.818
33705,794,184.0,184,0.466337,9.868542671203613,281.8,31.993
33793,795,88.0,88,0.464944,9.28858470916748,281.8,32.076
33823,796,30.0,30,0.464469,3.809232711791992,281.8,32.1
33991,797,168.0,168,0.461809,7.796993732452393,281.8,32.256
34072,798,81.0,81,0.460527,14.26292896270752,281.8,32.327
34279,799,207.0,207,0.457249,2.4548428058624268,281.8,32.507
34522,800,243.0,243,0.453402,12.573702812194824,281.8,32.743
34598,801,76.0,76,0.452198,16.320281982421875,281.8,32.813
34644,802,46.0,46,0.45147,1.5287277698516846,281.8,32.86
34691,803,47.0,47,0.450726,3.5409584045410156,281.8,32.903
34814,804,123.0,123,0.448778,27.150659561157227,281.8,33.026
35014,805,200.0,200,0.445612,6.329529285430908,281.8,33.209
35194,806,180.0,180,0.442762,23.71978187561035,281.8,33.383
35401,807,207.0,207,0.439484,2.2955949306488037,281.8,33.573
35475,808,74.0,74,0.438312,0.9776655435562134,281.8,33.643
35598,809,123.0,123,0.436365,7.659267902374268,281.8,33.757
35682,810,84.0,84,0.435035,10.019142150878906,281.8,33.831
35764,811,82.0,82,0.433737,0.5068436861038208,281.8,33.906
35793,812,29.0,29,0.433277,2.249969482421875,281.8,33.936
36077,813,284.0,284,0.428781,2.4738757610321045,281.8,34.228
36263,814,186.0,186,0.425836,12.111869812011719,281.8,34.396
36327,815,64.0,64,0.424822,0.6960947513580322,281.8,34.465
36474,816,147.0,147,0.422495,4.2480998039245605,281.8,34.607
36594,817,120.0,120,0.420595,1.1864945888519287,281.8,34.715
36790,818,196.0,196,0.417492,12.685446739196777,281.8,34.896
36935,819,145.0,145,0.415196,5.744607925415039,281.8,35.027
37143,820,208.0,208,0.411903,6.253722190856934,281.8,35.241
37377,821,234.0,234,0.408197,12.51210880279541,281.8,35.465
37605,822,228.0,228,0.404587,1.4611250162124634,281.8,35.676
37889,823,284.0,284,0.400091,1.1800832748413086,281.8,35.945
38115,824,226.0,226,0.396513,14.2467679977417,281.8,36.152
38250,825,135.0,135,0.394375,22.69422149658203,281.8,36.301
38518,826,268.0,268,0.390132,4.754246711730957,281.8,36.57
38725,827,207.0,207,0.386854,1.1301178932189941,281.8,36.757
38817,828,92.0,92,0.385398,1.2623172998428345,281.8,36.837
39013,829,196.0,196,0.382294,1.8614115715026855,281.8,37.029
39256,830,243.0,243,0.378447,0.8291045427322388,281.8,37.251
39498,831,242.0,242,0.374615,1.4780453443527222,281.8,37.491
39727,832,229.0,229,0.370989,1.009842872619629,281.8,37.721
39925,833,198.0,198,0.367854,44.05104064941406,281.8,37.913
40197,834,272.0,272,0.363548,1.0708458423614502,341.0,38.546
40449,835,252.0,252,0.359557,1.4496443271636963,341.0,38.786
40744,836,295.0,295,0.354887,24.724445343017578,341.0,39.058
40915,837,171.0,171,0.352179,0.4909510910511017,341.0,39.23
41083,838,168.0,168,0.349519,0.7095234394073486,341.0,39.396
41427,839,344.0,344,0.344073,1.4247874021530151,341.0,39.739
41666,840,239.0,239,0.340288,16.164522171020508,341.0,39.966
41755,841,89.0,89,0.338879,12.17626667022705,341.0,40.05
41984,842,229.0,229,0.335253,1.9789865016937256,341.0,40.272
42111,843,127.0,127,0.333242,7.3272600173950195,341.0,40.393
42138,844,27.0,27,0.332815,2.14605975151062,341.0,40.421
42307,845,169.0,169,0.330139,1.618895173072815,341.0,40.593
42565,846,258.0,258,0.326054,3.002239227294922,341.0,40.831
42666,847,101.0,101,0.324455,0.6674154996871948,341.0,40.923
42694,848,28.0,28,0.324012,11.921692848205566,341.0,40.951
42764,849,70.0,70,0.322903,6.7222723960876465,341.0,41.01
42992,850,228.0,228,0.319293,0.7297926545143127,341.0,41.236
43274,851,282.0,282,0.314828,0.9177886247634888,341.0,41.539
43503,852,229.0,229,0.311203,1.1304234266281128,341.0,41.753
43736,853,233.0,233,0.307513,1.0040693283081055,341.0,41.966
44013,854,277.0,277,0.303127,2.1469573974609375,341.0,42.24
44341,855,328.0,328,0.297934,0.7675290107727051,341.0,42.553
44534,856,193.0,193,0.294878,2.2929606437683105,341.0,42.75
44759,857,225.0,225,0.291316,1.073350429534912,341.0,42.975
44990,858,231.0,231,0.287658,7.8919806480407715,341.0,43.194
45283,859,293.0,293,0.283019,0.8043301105499268,341.0,43.486
45492,860,209.0,209,0.27971,15.606586456298828,341.0,43.691
45563,861,71.0,71,0.278586,9.651636123657227,341.0,43.756
45801,862,238.0,238,0.274818,5.848033428192139,341.0,43.988
